timestamp,test-class,test-method,time,description,result
2021-06-09 09:47:54.248,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,6056,"[1] recordIndex=5, author=ATH-01, text=Text 1, info=http://www.example.com, xxxCreationDate=aaa-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 1.00, flag=true",OK
2021-06-09 09:47:59.549,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5018,"[2] recordIndex=6, author=ATH-02, text=Text 2, info=http://www.example.com, xxxCreationDate=aab-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 150.00, flag=true",OK
2021-06-09 09:48:04.554,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4736,"[3] recordIndex=7, author=ATH-03, text=Text 3, info=http://www.example.com, xxxCreationDate=aaC-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=BTC 13.00, flag=false",OK
2021-06-09 09:48:11.818,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,6963,"[4] recordIndex=8, author=ATH-04, text=viagra esto debería aceptar el spam porque supera el umbral predefinido, info=http://www.example.com, xxxCreationDate=aVa-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 13.00, flag=true",OK
2021-06-09 09:48:15.609,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3518,"[5] recordIndex=9, author=ATH-05, text=Text 5, info=null, xxxCreationDate=aaa-2021/06/09, xxxMoment=2021/06/01 19:39, xxxMoney=EUR 1000.00, flag=true",Record index 9 is out of range
2021-06-09 09:48:17.697,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1823,"[1] recordIndex=0, author=null, text=Text 1, info=http://www.example.com",OK
2021-06-09 09:48:19.846,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1865,"[2] recordIndex=1, author=Alex, text=Text 2, info=http://www.example.com",OK
2021-06-09 09:48:22.0,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1883,"[3] recordIndex=2, author=Alejandro Manuel Perez Arjona, text=nigeria no debería de tragarselo porque son nueve palabras, info=http://www.example.com",OK
2021-06-09 09:48:24.082,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1814,"[4] recordIndex=3, author=ATH-02, text=null, info=http://www.example.com",OK
2021-06-09 09:48:26.445,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2097,"[5] recordIndex=4, author=ATH-03, text=Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres…, info=http://www.example.com",OK
2021-06-09 09:48:28.517,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1820,"[6] recordIndex=5, author=ATH-04, text=viagra nigeria, info=http://www.example.com",OK
2021-06-09 09:48:30.622,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1820,"[7] recordIndex=6, author=ATH-05, text=Esto es un text bien redactado, info=hola",OK
2021-06-09 09:48:32.724,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1832,"[8] recordIndex=7, author=ATH-06, text=texto, info=null",OK
2021-06-09 09:48:34.797,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1801,"[9] recordIndex=8, author=ATH-07, text=texto, info=null",OK
2021-06-09 09:48:36.919,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1854,"[10] recordIndex=9, author=ATH-08, text=texto, info=null",OK
2021-06-09 09:48:39.004,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1788,"[11] recordIndex=10, author=ATH-08, text=texto, info=null",OK
